Key,Id,English(en),Portuguese(pt),Spanish(es)
"ConfirmationPanel_Email_SendingCapture",154173684531200,"Confirm sending capture: \n\""{0}\""\nTo: {1}","Confirme o envio da captura: \n\""{0}\""\Para: {1}",
"ConfirmationPanel_Email_SendingEmail",154174456283136,"Sending Email","Enviando Email",
"ConfirmationPanel_Email_SendingEmailCancelled",154175379030016,"\nSending email cancelled.\n","\nEnvio de Email Cancelado.\n",
"ConfirmationPanel_SavingCapture",154176129810432,"Confirm saving capture:\n\""{0}\""\nto desktop?\n(See folder \""/{1}\"")","Confirme o salvamento da captura:\n\""{0}\""\n na Área de Trabalho?\n(Veja a pasta \""/{1}\"")",
"ConfirmationPanel_CaptureSaved",154992525918208,"\nCapture saved!\n","\nCaptura salva!\n",
"ConfirmationPanel_couldntBeSaved",154999362633728,"Capture couldn't be saved.\nTry starting software in administrator mode.","Não foi possível salvar a captura.\nTente iniciar o software no modo de administrador.",
"OnScreenKeyboard_EnterName",155002848100352,"Enter Name","Digite o Nome",
"OnScreenKeyboard_Shift",155243005558784,"Shift","Shift",
"OnScreenKeyboard_Backspace",155247233417216,"Backspace","Backspace",
"OnScreenKeyboard_Accept",155250005852160,"Accept","Aceitar",
"OnScreenKeyboard_Cancel",155253403238400,"Cancel","Cancelar",
"OnScreenKeyboard_Space",155254535700480,"Space","Space",
"OnScreenNumPad_StartingElevation",155255420698624,"Starting Elevation:","Elevação Inicial:",
"OnScreenNumPad_Accept",155256234393600,"Accept","Aceitar",
"OnScreenNumPad_Cancel",155256926453760,"Cancel","Cancelar",
"Standard_Value",155257584959488,"Value:","Valor:",
"Standard_Kinect_Required",155675689959424,"Kinect Sensor Required","Necessário Sensor Kinect",
"Standard_Kinect_Connected",155717167431680,"There are current no Kinect Sensors connected. 
Please plug in a sensor to begin using this application.
Try to detect…","Não há sensores Kinect conectados no momento.
Conecte um sensor para começar a usar este aplicativo.
Tente detectar…",
"ConfirmationPanel_Close",900414445928448,"Close","Fechar",
"ConfirmationPanel_Email_CouldNotbeSent",1081512731820032,"Email could not be sent!\nPlease check your internet connection\nand try again.","Email não pôde ser enviado!\nPor favor, verifique sua conexão com a internet\ne tente novamente.",
"ConfirmationPanel_Email_Sent",1184357471932416,"\nEmail sent!\n","\nE-mail enviado!\n",
